,,Depth (cm),,,,,,,,,,,,,,,,,
,Haemaphysalinae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Haemaphysalis,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ixodinae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ixodes,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,0,0,0
,Ixodes scapularis,13,0,45,145,20,21,36,12,0,75,66,25,21,44,45,54,45,203
,Mesostigmata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Monogynaspida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Gamasina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Dermanyssoidea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Varroidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Varroa,0,0,17,23,5,0,0,5,0,23,15,6,0,7,2,5,11,15
,Varroa jacobsoni,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,13,0,31
,Phytoseioidea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Phytoseiidae,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,Typhlodrominae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Galendromus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Galendromus occidentalis,0,0,23,40,0,0,0,0,0,19,13,8,0,10,0,8,6,15
,Araneae,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Araneomorphae,0,0,3,1,0,0,0,2,1,2,3,0,0,2,4,0,0,0
,Entelegynae,0,0,0,1,0,0,0,0,0,2,6,1,3,0,3,1,3,2
,Orbiculariae,0,0,2,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0
,Araneoidea,0,0,6,3,0,0,0,0,8,1,2,1,1,2,3,3,1,5
,Araneidae,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,Parawixia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Parawixia bistriata,0,0,0,0,0,0,8,7,0,0,0,6,0,0,0,0,0,0
,Theridiidae,0,0,3,8,0,0,2,0,5,1,4,2,1,0,8,8,4,0
,Latrodectus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Latrodectus hesperus,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,10
,Parasteatoda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Parasteatoda tepidariorum,5,0,18,32,0,14,11,6,0,40,35,14,13,38,16,41,19,101
,RTA clade,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9
,Chummidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chumma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chumma inquieta,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Haplogynae,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
,Pseudoscorpiones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cheliferoidea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Withiidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,unclassified Withiidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Withiidae sp. JA-2011,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
,Scorpiones,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
,Buthida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Buthoidea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Buthidae,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
,Centruroides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Centruroides sculpturatus,0,0,51,96,32,29,39,36,16,37,59,34,28,52,49,54,39,101
,Merostomata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Xiphosura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Limulidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Limulus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Limulus polyphemus,0,0,51,53,8,6,7,0,0,22,29,6,5,19,11,22,11,31
,Mandibulata,0,0,0,2,0,0,1,0,0,5,5,1,0,2,4,1,1,3
,Myriapoda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,Chilopoda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Notostigmophora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Scutigeromorpha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Scutigeridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Scutigera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Scutigera coleoptrata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,Pancrustacea,1,3,5,13,1,4,66,5,0,12,16,4,2,11,3,5,4,32
,Crustacea,11,0,1,2,1,0,1,5,8,1,4,3,5,1,1,3,4,2
,Branchiopoda,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2
,Phyllopoda,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1
,Diplostraca,0,0,1,0,0,2,0,0,0,0,3,0,0,1,0,0,0,0
,Cladocera,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Anomopoda,2,0,7,3,0,1,2,0,0,0,6,1,0,6,6,0,5,0
,Daphniidae,0,0,5,0,0,3,0,0,0,2,0,0,0,0,0,0,0,5
,Daphnia,5,0,2,3,0,0,0,0,0,13,0,0,0,0,0,5,0,5
,Daphnia carinata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
,Daphnia hispanica,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Daphnia magna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,Daphnia pulex,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,Scapholeberis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Scapholeberis mucronata,0,0,0,8,0,24,0,0,0,0,0,0,0,0,0,0,0,0
,Moinidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Moina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Moina brachiata,0,7,12,0,6,0,1373,0,0,10,0,9,0,0,7,0,0,912
,Spinicaudata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Limnadiidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Limnadia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Limnadia lenticularis,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,0,0
,Sarsostraca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Anostraca,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,Artemiidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Artemia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Artemia franciscana,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
,Multicrustacea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Hexanauplia,0,0,5,1,0,6,3,3,5,0,7,7,1,0,0,3,1,0
,Copepoda,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,Neocopepoda,0,0,5,0,6,3,2,1,0,0,1,9,6,1,0,6,5,7
,Gymnoplea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Calanoida,0,0,1,5,0,0,2,1,0,3,1,0,0,2,2,5,0,5
,Eucalanidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rhincalanus,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Temoridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Eurytemora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Eurytemora affinis,0,0,25,48,0,5,6,6,0,14,17,5,0,17,17,7,5,33
,Podoplea,0,0,7,2,0,0,0,0,0,7,8,0,0,7,1,2,0,5
,Harpacticoida,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
,Siphonostomatoida,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Caligidae,0,0,4,2,0,0,0,0,0,2,6,0,0,2,0,2,0,0
,Caligus,0,0,0,11,0,0,0,0,0,0,6,0,0,0,0,0,0,0
,Lepeophtheirus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lepeophtheirus salmonis,0,0,5,24,0,0,0,0,0,5,13,0,0,19,9,26,15,54
,Thecostraca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cirripedia,0,0,0,1,0,0,0,0,0,2,0,0,0,0,3,0,2,0
,Rhizocephala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Kentrogonida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sacculinidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sacculina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sacculina yatsui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,Thoracica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sessilia,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,Balanidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Amphibalanus,0,0,0,0,0,0,0,0,0,1,0,0,0,3,7,0,0,3
,Amphibalanus amphitrite,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,23
,Amphibalanus improvisus,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
,Malacostraca,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,Eumalacostraca,0,0,0,0,2,0,0,2,2,3,1,0,0,0,0,0,0,0
,Eucarida,0,0,0,1,0,0,0,0,0,1,1,0,0,2,1,0,1,3
,Decapoda,0,0,2,0,3,7,0,3,2,0,0,1,0,0,1,3,0,0
,Dendrobranchiata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,Penaeoidea,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3
,Penaeidae,0,0,1,0,1,0,0,0,0,2,0,0,0,0,1,1,0,1
,Penaeus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Penaeus vannamei,29,0,103,105,23,16,120,197,302,49,34,39,50,39,79,55,30,82
,Pleocyemata,2,0,1,10,0,3,3,7,0,3,16,1,3,6,9,13,5,13
,Anomura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Paguroidea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Coenobitidae,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Astacidea,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Astacoidea,0,0,5,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0
,Astacidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Pacifastacus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Pacifastacus leniusculus,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Brachyura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Eubrachyura,0,0,2,1,0,0,3,0,0,0,5,0,5,5,0,0,0,2
,Heterotremata,0,0,5,6,0,5,3,0,0,12,0,0,0,0,0,0,0,0
,Goneplacoidea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Goneplacidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Carcinoplax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Carcinoplax purpurea,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0
,Thoracotremata,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
,Grapsoidea,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
,Caridea,5,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,0,6
,Alpheoidea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Hippolytidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bathyhippolyte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bathyhippolyte yaldwyni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,Crangonoidea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Crangonidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Neocrangon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Neocrangon sagamiensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,Gebiidea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Upogebiidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Upogebia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Upogebia pusilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,Peracarida,3,0,2,2,0,0,2,0,0,2,3,1,0,3,3,0,0,3
,Amphipoda,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
,Gammaridea,0,0,1,5,0,4,1,1,4,4,3,1,0,1,1,1,1,4
,Senticaudata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Talitrida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Talitroidea,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,Hyalellidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Hyalella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Hyalella azteca,6,0,81,115,17,31,47,15,6,107,64,44,21,46,24,54,19,79
,Isopoda,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
,Oniscidea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Crinocheta,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
,Armadillidiidae,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
,Hexapoda,1,0,4,5,0,0,0,1,4,0,3,6,0,3,7,0,1,0
,Collembola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,Entomobryomorpha,0,0,0,0,5,0,1,0,0,0,3,0,0,0,1,1,0,3
,Isotomoidea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Isotomidae,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,Proisotominae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Folsomia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Folsomia candida,0,0,15,22,0,0,6,0,5,34,24,0,5,12,12,41,10,49
,Tomoceroidea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Tomoceridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Tomocerus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,unclassified Tomocerus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Tomocerus sp. E-82,0,0,0,10,0,0,0,5,0,0,0,0,0,14,0,0,0,7
,Diplura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Dicellurata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Japygoidea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Japygidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Japyginae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Metajapyx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Metajapyx subterraneus,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
,Insecta,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,Dicondylia,0,0,4,4,0,1,0,0,0,4,0,2,1,1,2,4,2,6
,Pterygota,0,0,3,1,0,1,0,0,0,8,3,5,1,1,2,1,0,1
,Neoptera,7,1,27,44,9,5,12,7,2,40,38,13,5,17,18,11,11,43
,Holometabola,10,3,124,146,26,34,48,35,18,93,89,58,58,91,64,76,89,268
,Amphiesmenoptera,0,0,3,6,3,3,0,1,2,9,12,10,4,14,11,15,11,17
,Lepidoptera,0,0,0,0,0,0,0,0,0,3,1,0,2,3,2,2,2,0
,Glossata,0,0,0,4,0,0,0,0,0,3,1,0,1,1,0,0,0,0
,Neolepidoptera,0,0,0,0,0,0,0,0,0,2,4,2,0,1,1,1,0,0
,Heteroneura,0,0,4,10,3,5,3,1,0,8,13,5,3,9,5,17,11,25
,Ditrysia,4,8,31,52,6,18,5,13,11,30,23,16,20,26,27,28,20,68
,Apoditrysia,0,0,6,3,8,0,2,1,0,3,13,12,0,4,4,5,1,14
,Copromorphoidea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Carposinidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,Sesioidea,0,0,0,0,0,0,0,1,0,0,3,0,0,6,0,0,1,5
,Choreutidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Choreutinae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Choreutis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Choreutis ophiosema,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
,Sesiidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sesiinae,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
,Paranthrenini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Vitacea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Vitacea polistiformis,0,0,0,0,0,0,12,8,0,0,0,0,0,0,0,0,0,0
,Tortricoidea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Tortricidae,0,0,0,3,0,0,1,1,0,7,0,0,0,5,0,0,0,2
,Olethreutinae,0,0,7,9,0,0,6,0,0,0,6,0,0,0,6,0,6,2
,Olethreutini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lobesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lobesia botrana,0,0,0,5,0,0,0,13,0,0,0,0,0,0,0,0,0,7
,Zygaenoidea,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
,Epipyropidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Fulgoraecia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Fulgoraecia exigua,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
,Gelechioidea,0,0,10,10,5,4,7,7,0,6,11,3,4,6,2,5,3,6
,Cosmopterigidae,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cosmopteriginae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Hyposmocoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Hyposmocoma kahamanoa,0,0,26,48,0,13,0,0,5,38,26,10,5,17,11,27,8,45
,Oecophoridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Oecophorinae,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,Wingia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Wingia aurata,0,0,5,14,0,0,0,0,0,5,0,0,0,0,0,0,0,0
,Obtectomera,7,0,24,25,15,24,9,17,5,28,33,18,22,26,17,18,19,37
,Bombycoidea,2,0,6,7,8,8,4,6,4,6,13,3,6,8,8,4,2,14
,Bombycidae,0,0,1,1,1,2,1,0,0,1,8,1,1,1,4,5,0,5
,Bombycidae incertae sedis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Racinoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,unclassified Racinoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Racinoa sp. Ofic,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,12
,Bombycinae,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
,Bombyx,12,0,34,57,9,14,22,9,0,18,38,26,10,22,22,36,13,100
,Bombyx mandarina,0,0,5,6,0,0,24,14,0,5,0,0,8,8,5,0,0,5
,Bombyx mori,0,0,7,33,0,0,6,0,0,19,19,6,0,14,10,12,0,20
,Lasiocampidae,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
,Lasiocampinae,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1
,Heteropacha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Heteropacha rileyana,0,0,5,5,0,0,0,0,0,5,0,0,0,0,0,0,0,13
,Saturniidae,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
,Saturniinae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
,Attacini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Samia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Samia ricini,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,0,0
,Sphingidae,0,0,0,2,0,0,0,0,0,1,1,0,0,0,2,1,1,4
,Sphinginae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sphingini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Manduca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Manduca sexta,0,0,45,79,14,12,30,11,6,37,30,19,16,43,12,23,23,81
,Drepanoidea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Drepanidae,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cyclidiinae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cyclidia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cyclidia substigmaria,0,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Geometroidea,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,2,1,1
,Geometridae,0,0,2,6,5,0,5,0,0,2,0,9,0,3,2,4,5,3
,Ennominae,0,0,7,6,0,0,0,0,0,2,0,5,0,2,2,1,0,6
,Apocheima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Apocheima cinerarius,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Biston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Biston betularia,0,0,0,17,0,0,0,0,0,0,0,0,0,0,9,15,0,9
,Campaea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Campaea perlata,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chiasmia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chiasmia clathrata,0,0,6,0,0,0,0,0,0,7,0,0,0,6,0,0,0,9
,Hesperioidea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Hesperiidae,0,0,0,7,0,0,1,1,0,1,8,5,0,5,6,1,2,6
,Eudaminae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Eudamini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Astraptes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Astraptes enotrus,0,0,20,29,0,0,16,14,5,6,6,0,0,0,0,0,0,7
,Hesperiinae,0,0,0,5,0,0,0,0,0,6,8,0,0,8,0,5,3,10
,Isoteinon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Isoteinon lamprospilus,0,0,8,16,0,0,0,0,0,0,0,0,0,0,0,0,5,17
,Noctuoidea,0,0,12,19,1,0,2,2,0,6,4,4,6,3,1,2,2,8
,Erebidae,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Arctiinae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Arctiini,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Noctuidae,0,0,9,8,6,7,1,4,12,3,6,11,0,2,9,11,0,6
,Amphipyrinae,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
,Spodoptera,0,0,0,2,0,6,1,0,0,0,5,3,2,2,0,0,5,13
,Spodoptera litura,0,0,37,71,11,9,7,7,0,57,42,25,11,37,14,35,30,96
,Catocalinae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ophiusa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ophiusa tirhaca,0,0,5,11,0,0,5,0,0,9,0,0,5,21,0,0,11,26
,Heliothinae,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Helicoverpa,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,4,2,3
,Helicoverpa armigera,0,0,20,39,0,8,6,14,39,26,27,38,32,44,17,28,17,62
,Plusiinae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Trichoplusia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Trichoplusia ni,0,0,36,83,11,25,10,0,7,25,26,18,11,21,18,21,11,28
,Papilionoidea,12,0,5,0,1,0,2,6,6,1,7,0,13,2,1,9,7,5
,Lycaenidae,0,0,0,5,0,0,0,0,0,1,0,1,0,1,1,0,7,2
,Miletinae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Miletini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Spalgis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Spalgis lemolea,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,16
,Polyommatinae,0,0,0,0,0,0,0,0,0,6,0,2,0,0,11,0,0,0
,Pseudophilotes,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
,Nymphalidae,5,0,16,9,2,12,2,3,10,3,10,11,3,12,15,19,14,32
,Heliconiinae,0,0,8,6,0,0,1,0,0,0,5,5,0,7,0,1,0,1
,Heliconiini,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,5,0,7
