,,Depth (cm),,,,,,,,,,,
,Eleutheria,0,0,0,0,0,0,0,0,0,0,0,0
,Eleutheria dichotoma,0,0,0,0,7,0,0,0,0,0,0,0
,Pennariidae,0,0,0,0,0,0,0,0,0,0,0,0
,Pennaria,0,0,0,0,0,0,0,0,0,0,0,0
,Pennaria disticha,0,0,0,0,0,5,0,0,0,0,0,0
,Filifera,0,0,0,0,0,0,0,0,0,0,0,0
,Hydractiniidae,0,0,0,0,0,5,0,0,0,0,0,0
,Leptothecata,0,0,0,0,0,11,0,0,0,0,0,0
,Campanulariidae,0,0,0,0,0,6,0,0,0,0,0,0
,Myxozoa,0,0,0,0,0,0,0,0,0,0,0,0
,Myxosporea,0,0,0,0,3,3,1,0,0,5,0,3
,Bivalvulida,0,0,0,0,0,0,0,0,0,0,0,0
,Variisporina,0,0,0,0,0,0,0,0,0,0,0,0
,Ceratomyxidae,0,0,0,0,0,0,0,0,0,0,0,0
,Ceratomyxa,0,0,0,0,0,0,0,0,0,0,0,0
,Ceratomyxa ayami,0,0,0,0,0,0,0,0,0,0,0,5
,Multivalvulida,0,0,0,0,0,1,0,0,0,0,0,0
,Trilosporidae,0,0,0,0,0,0,0,0,0,0,0,0
,Unicapsula,0,7,5,0,5,36,5,6,6,0,0,0
,Scyphozoa,0,0,0,0,0,2,0,0,0,0,0,0
,Semaeostomeae,0,0,0,0,0,1,0,0,0,0,0,0
,Cyaneidae,0,0,0,0,0,0,0,0,0,0,0,0
,Cyanea,0,0,0,0,0,7,0,0,0,0,0,0
,Placozoa,0,0,0,0,0,1,0,0,0,0,0,0
,Trichoplacidae,0,0,0,0,0,0,0,0,0,0,0,0
,Trichoplax,0,0,0,0,0,18,0,0,0,0,0,6
,Trichoplax adhaerens,0,6,0,0,5,35,0,5,0,12,8,0
,Porifera,3,4,0,0,1,6,2,8,0,2,2,0
,Calcarea,0,0,0,0,0,4,0,0,0,0,0,0
,Calcaronea,0,0,0,0,0,0,0,0,0,0,0,0
,Leucosolenida,0,0,0,0,0,5,0,0,0,0,0,0
,Demospongiae,7,4,0,0,15,21,9,0,0,9,1,6
,Heteroscleromorpha,0,0,0,0,0,0,0,0,0,0,0,0
,Haplosclerida,1,1,0,0,0,2,1,0,0,0,0,0
,Niphatidae,0,1,0,0,0,0,0,0,0,0,0,0
,Amphimedon,0,0,0,0,0,0,0,0,0,0,0,0
,Amphimedon queenslandica,9,26,0,5,11,112,14,7,0,24,10,16
,Suberitida,0,0,0,0,0,0,0,0,0,0,0,0
,Suberitidae,0,0,0,0,0,7,0,0,0,0,0,0
,Tethyida,0,0,0,0,0,0,0,0,0,0,0,0
,Tethyidae,0,0,0,0,0,0,0,0,0,0,0,0
,Tethya,0,0,0,0,0,0,0,0,0,0,0,0
,Tethya actinia,0,0,0,0,0,5,0,0,0,0,0,0
,Keratosa,0,0,0,0,0,0,0,0,0,0,0,0
,Dictyoceratida,0,0,0,0,0,6,0,0,0,0,0,0
,Verongimorpha,0,0,0,0,0,0,0,0,0,0,0,0
,Verongiida,0,0,0,0,0,0,0,0,0,0,0,0
,Aplysinidae,0,0,0,0,0,2,0,0,0,0,0,0
,Verongula,0,0,0,0,0,0,0,0,0,0,0,0
,Verongula rigida,0,0,0,0,0,10,0,0,0,0,0,0
,Nucleariidae and Fonticula group,0,0,0,0,0,0,0,0,0,0,0,0
,Fonticulida,0,0,0,0,0,0,0,0,0,0,0,0
,Fonticulaceae,0,0,0,0,0,0,0,0,0,0,0,0
,Fonticula,0,0,0,0,0,0,0,0,0,0,0,0
,Fonticula alba,7,17,0,0,16,96,10,0,0,20,12,9
,Opisthokonta incertae sedis,0,0,0,0,0,5,0,0,0,1,1,0
,Ichthyosporea,0,1,0,0,0,0,1,5,0,0,0,0
,Capsaspora,0,0,0,0,0,0,0,0,0,0,0,0
,Capsaspora owczarzaki,5,16,0,0,23,134,9,0,0,21,19,18
,Ichthyophonida,0,0,0,0,0,0,0,0,0,0,1,0
,Sphaeroforma,0,0,0,0,0,0,0,0,0,0,0,0
,Sphaeroforma arctica,6,6,0,0,13,47,0,0,0,13,8,26
,Parabasalia,6,4,0,0,0,2,6,1,0,0,1,0
,Cristamonadida,0,0,0,0,0,0,0,0,0,0,0,0
,Lophomonadidae,0,0,0,0,0,6,0,0,0,0,0,0
,Trichomonadida,0,0,0,0,0,0,0,0,0,0,0,0
,Trichomonadidae,0,0,0,0,0,0,0,0,0,0,1,0
,Trichomonas,0,0,0,0,0,0,0,0,0,0,0,0
,Trichomonas vaginalis,15,20,0,0,15,109,0,18,0,14,5,12
,Tritrichomonadida,0,0,0,0,0,2,0,0,0,0,0,0
,Tritrichomonadidae,0,0,0,0,0,0,0,0,0,0,0,0
,Tritrichomonas,0,0,0,0,0,0,0,0,0,0,0,0
,Tritrichomonas foetus,0,0,0,0,0,5,0,0,0,0,0,0
,Rhizaria,4,4,0,0,1,7,15,5,0,0,23,4
,Cercozoa,5,13,0,0,13,9,0,1,0,0,75,12
,Cercomonadida,0,0,0,0,0,6,0,0,0,0,0,0
,Chlorarachniophyceae,0,0,0,0,0,13,0,5,0,0,3,2
,Amorphochlora,0,0,0,0,0,0,0,0,0,0,0,0
,Amorphochlora amoebiformis,0,0,0,0,0,0,0,0,0,0,10,38
,Lotharella,0,0,0,0,0,0,0,0,0,0,0,0
,Lotharella vacuolata,0,0,0,0,0,13,0,0,0,0,0,0
,"environmental samples <cercozoans,phylum Cercozoa>",0,0,0,0,0,0,0,0,0,0,1,0
,uncultured Cercozoa,0,0,0,0,0,0,0,0,0,0,22,0
,Imbricatea,0,0,0,0,0,0,0,0,0,0,0,0
,Silicofilosea,0,0,0,0,1,3,0,0,0,0,4,0
,Euglyphida,0,0,0,0,0,0,0,0,0,0,5,0
,Paulinellidae,0,0,0,0,0,0,0,0,0,0,0,0
,Paulinella,0,0,0,0,0,0,0,0,0,0,0,0
,Paulinella chromatophora,0,0,0,0,5,32,0,0,0,0,0,12
,Thaumatomonadida,0,0,0,0,0,0,0,0,0,0,3,0
,Esquamula,0,0,0,0,0,0,0,0,0,0,0,0
,Esquamula lacrimiformis,0,0,0,0,0,0,0,0,0,0,6,0
,unclassified Cercozoa,0,0,0,0,0,0,0,0,0,0,6,0
,"environmental samples <eukaryotes,clade Rhizaria>",0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Rhizaria,0,0,0,0,0,0,0,0,0,0,5,0
,Foraminifera,0,0,0,0,0,5,0,12,0,0,0,0
,Rotaliida,0,0,0,0,0,10,0,0,0,0,0,0
,Rhodophyta,6,16,7,3,16,51,7,5,1,10,16,20
,Bangiophyceae,8,9,0,6,6,3,8,16,0,2,1,0
,Bangiales,0,0,0,0,0,0,0,0,0,0,0,0
,Bangiaceae,5,8,0,0,13,13,11,0,0,11,0,8
,Bangia,0,0,0,0,0,2,0,0,0,0,0,0
,Bangia fuscopurpurea,0,0,0,0,0,35,0,0,0,0,0,0
,Porphyra,0,5,0,0,0,9,0,0,0,0,0,0
,Porphyra umbilicalis,0,0,0,0,0,0,0,0,0,0,15,73
,Pyropia,0,5,0,0,5,26,0,0,0,1,5,0
,Pyropia haitanensis,0,0,0,0,0,5,0,0,0,0,0,0
,Pyropia kanakaensis,0,0,0,0,0,16,0,0,0,12,0,0
,Pyropia perforata,0,0,0,0,0,23,0,0,0,6,0,0
,Pyropia pulchra,0,0,0,0,0,0,0,0,0,0,15,71
,Wildemania,0,0,0,0,0,0,0,0,0,0,0,0
,Wildemania schizophylla,0,0,0,0,0,16,0,0,0,0,0,0
,Cyanidiales,0,0,0,0,0,0,0,0,0,0,0,0
,Cyanidiaceae,4,3,0,0,6,13,0,0,0,14,5,7
,Cyanidioschyzon,0,0,0,0,0,0,0,0,0,0,0,0
,Cyanidioschyzon merolae,0,6,0,0,7,63,0,0,0,0,0,0
,Cyanidium,0,0,0,0,0,0,0,0,0,0,0,0
,Cyanidium caldarium,0,0,0,0,14,0,0,0,0,5,0,0
,Galdieria,0,0,0,0,0,0,0,0,0,0,0,0
,Galdieria sulphuraria,5,6,0,0,16,78,0,0,0,46,41,51
,unclassified Cyanidiaceae,0,0,0,0,0,0,0,0,0,0,0,0
,Cyanidiaceae sp. MX-AZ01,0,0,0,0,0,13,0,0,0,0,14,32
,Porphyridiales,0,0,0,0,0,0,0,0,0,0,0,0
,Porphyridiaceae,0,0,0,0,0,0,0,0,0,0,0,0
,Porphyridium,0,0,0,0,0,1,0,0,0,0,0,0
,Porphyridium sordidum,0,0,0,0,0,13,0,0,0,0,0,0
,Compsopogonophyceae,0,0,0,0,0,12,0,0,0,0,0,0
,Compsopogonales,0,0,0,0,0,0,0,0,0,0,0,0
,Compsopogonaceae,0,0,0,0,0,0,0,0,0,0,0,0
,Compsopogon,0,0,0,0,0,0,0,0,0,0,0,0
,Compsopogon caeruleus,0,0,0,0,0,5,0,0,0,0,0,0
,Florideophyceae,30,73,17,12,68,254,42,33,16,81,52,82
,Ahnfeltiophycidae,0,0,0,0,0,0,0,0,0,0,0,0
,Ahnfeltiales,0,0,0,0,0,0,0,0,0,0,0,0
,Ahnfeltiaceae,0,0,0,0,0,0,0,0,0,0,0,0
,Ahnfeltia,0,0,0,0,0,0,0,0,0,0,0,0
,Ahnfeltia plicata,0,0,0,0,0,38,0,0,0,6,0,0
,Corallinophycidae,0,0,0,0,0,1,0,0,0,0,0,4
,Corallinales,0,0,0,0,2,10,0,0,0,2,0,2
,Corallinaceae,0,0,0,0,1,4,0,0,0,5,0,0
,Corallinoideae,0,0,0,0,0,1,0,0,0,0,0,0
,Calliarthron,0,0,0,0,0,0,0,0,0,0,0,0
,Calliarthron tuberculosum,0,0,0,0,10,15,0,0,0,0,7,7
,Neogoniolithon,0,0,0,0,0,0,0,0,0,0,0,0
,Neogoniolithon spectabile,0,0,0,0,0,10,0,0,0,0,0,0
,Hapalidiales,0,0,0,0,0,0,0,0,0,0,0,0
,Hapalidiaceae,0,0,0,0,0,0,0,0,0,0,0,0
,Melobesioideae,0,0,0,0,0,2,0,0,0,5,0,0
,Synarthrophyton,0,0,0,0,0,0,0,0,0,0,0,0
,Synarthrophyton patena,0,0,0,0,0,5,0,0,0,0,0,0
,Hildenbrandiophycidae,0,0,0,0,0,0,0,0,0,0,0,0
,Hildenbrandiales,0,0,0,0,0,0,0,0,0,0,0,0
,Hildenbrandiaceae,0,0,0,0,0,0,0,0,0,0,0,0
,Apophlaea,0,0,0,0,0,0,0,0,0,0,0,0
,Apophlaea sinclairii,0,0,0,0,0,10,0,0,0,0,0,0
,Hildenbrandia,0,0,0,0,0,1,0,0,0,0,0,0
,Hildenbrandia rivularis,0,0,0,0,0,5,0,0,0,0,0,0
,Nemaliophycidae,0,0,0,0,0,0,0,0,0,0,0,0
,Balbianiales,0,0,0,0,0,0,0,0,0,0,0,0
,Balbianiaceae,0,0,0,0,0,0,0,0,0,0,0,0
,Balbiania,0,0,0,0,0,0,0,0,0,0,0,0
,Balbiania investiens,0,0,0,0,0,11,0,0,0,9,0,0
,Batrachospermales,0,0,0,0,0,0,0,0,0,0,0,0
,Batrachospermaceae,0,0,0,0,0,3,0,0,0,0,0,0
,Kumanoa,0,0,0,0,0,5,0,0,0,0,0,0
,Nemaliales,0,0,0,0,9,3,0,0,0,2,0,5
,Galaxauraceae,0,0,0,0,0,0,0,0,0,0,5,0
,Dichotomaria,0,0,0,0,0,0,0,0,0,0,0,0
,Dichotomaria marginata,0,0,0,0,0,9,0,0,0,0,0,0
,Galaxaura,0,0,0,0,0,0,0,0,0,0,0,0
,Galaxaura rugosa,0,0,0,0,0,11,0,0,0,0,0,11
,Liagoraceae,0,10,0,0,2,25,0,0,0,9,5,2
,Dermonema,0,0,0,0,0,0,0,0,0,0,0,0
,Dermonema virens,0,0,0,0,10,6,0,0,0,0,0,0
,Hommersandiophycus,0,0,0,0,0,0,0,0,0,0,0,0
,Hommersandiophycus borowitzkae,0,0,0,0,0,9,0,0,0,0,0,0
,Liagora,0,0,0,0,5,0,0,0,0,0,0,0
,Titanophycus,0,0,0,0,0,0,0,0,0,0,0,0
,Titanophycus setchellii,0,0,0,0,0,25,0,0,0,13,0,0
,Trichogloeopsis,0,0,0,0,0,0,0,0,0,0,0,0
,Trichogloeopsis pedicellata,0,0,0,0,0,0,0,0,0,0,0,5
,Palmariales,0,0,0,0,0,0,0,0,0,0,0,0
,Palmariaceae,0,0,0,0,0,0,0,0,0,0,0,0
,Palmaria,0,0,0,0,0,0,0,0,0,0,0,0
,Palmaria palmata,0,0,0,0,0,7,0,0,0,0,0,0
,Rhodymeniophycidae,0,0,0,0,0,0,0,0,0,0,0,0
,Acrosymphytales,0,0,0,0,0,0,0,0,0,0,0,0
,Schimmelmanniaceae,0,0,0,0,0,0,0,0,0,0,0,0
,Schimmelmannia,0,0,0,0,0,0,0,0,0,0,0,0
,Schimmelmannia schousboei,0,0,0,0,0,6,0,0,0,5,0,0
,Ceramiales,10,10,5,6,14,30,8,5,0,34,15,8
,Ceramiaceae,9,18,0,0,21,43,0,17,0,6,5,13
,Anotrichium,0,0,0,0,0,0,0,0,0,0,0,0
,Anotrichium furcellatum,0,0,0,0,0,10,0,0,0,0,0,0
,Antithamnionella,0,0,0,0,0,0,0,0,0,0,0,0
,Antithamnionella ternifolia,0,0,0,0,0,0,0,0,0,7,7,36
,Centroceras,0,0,0,0,0,0,0,0,0,0,0,0
,Centroceras clavulatum,0,0,0,0,0,9,0,0,0,0,0,0
,Ceramium,0,0,0,0,0,5,0,0,0,0,0,0
,Crouania,0,0,0,0,0,0,0,0,0,0,0,0
,Crouania attenuata,0,0,0,0,0,8,0,0,0,0,0,0
,Inkyuleea,0,0,0,0,0,0,0,0,0,0,0,0
,Inkyuleea mariana,0,0,0,0,0,5,0,0,0,0,0,0
,Sphondylothamnion,0,0,0,0,0,0,0,0,0,0,0,0
,Sphondylothamnion multifidum,0,0,0,0,0,5,0,0,0,0,0,0
,Dasyaceae,0,0,0,0,6,5,0,0,0,5,1,0
,Halydictyon,0,0,0,0,0,0,0,0,0,0,0,0
,Halydictyon mirabile,0,0,0,0,8,37,0,0,0,0,0,0
,Thuretia,0,0,0,0,0,0,0,0,0,0,0,0
,Thuretia quercifolia,0,0,0,0,0,9,0,0,0,0,5,9
,Delesseriaceae,5,5,0,0,8,22,0,13,0,1,0,0
,Acrosorium,0,0,0,0,0,0,0,0,0,0,0,0
,Acrosorium ciliolatum,0,0,0,0,0,8,0,0,0,0,0,0
,Caloglossa,0,0,0,0,0,4,0,0,0,0,0,4
,Caloglossa monosticha,0,0,0,0,0,29,0,0,0,0,0,31
,Cryptopleura,0,0,0,0,0,0,0,0,0,0,0,0
,Cryptopleura ramosa,0,0,0,0,0,9,0,0,0,8,0,0
,Delesseria,0,0,0,0,0,0,0,0,0,0,0,0
,Delesseria sanguinea,0,0,0,0,0,6,0,0,0,0,0,0
,Membranoptera,0,0,0,0,0,6,0,0,0,0,0,0
,Polyneura,0,0,0,0,0,0,0,0,0,0,0,0
,Polyneura bonnemaisonii,0,0,0,0,0,8,0,0,0,0,0,0
,Rhodomelaceae,13,15,0,0,23,30,9,12,0,0,10,18
,Bostrychia,0,0,0,0,7,10,0,0,0,0,0,0
,Bostrychia simpliciuscula,0,5,0,0,0,16,0,0,0,0,0,0
,Herposiphonieae,0,0,0,0,0,0,0,0,0,0,0,0
,Ophidocladus,0,0,0,0,0,0,0,0,0,0,0,0
,Ophidocladus simpliciusculus,0,0,0,0,0,8,0,0,0,0,0,0
,Polysiphonioideae,0,0,0,0,0,0,0,0,0,0,0,0
,Polysiphonia,0,0,0,0,0,16,0,0,0,0,0,0
,Polysiphonia scopulorum,0,0,0,0,0,5,0,0,0,0,0,0
,Tolypiocladia,0,0,0,0,0,0,0,0,0,0,0,0
,Tolypiocladia glomerulata,0,0,0,0,0,15,0,0,0,0,0,0
,Rhodomela,0,0,0,0,0,0,0,0,0,0,0,0
,Rhodomela confervoides,0,0,0,0,0,6,0,0,0,0,0,0
,Spyridiaceae,0,0,0,0,0,0,0,0,0,0,0,0
,Spyridia,0,0,0,0,0,5,0,0,0,0,0,0
,Gelidiales,0,0,0,0,0,0,0,0,0,0,0,0
,Gelidiaceae,0,0,0,0,0,1,0,0,0,1,0,1
,Gelidiophycus,0,0,0,0,0,0,0,0,0,0,0,0
,Gelidiophycus divaricatus,0,0,0,0,0,11,0,0,0,0,0,0
,Gelidium,0,8,0,0,6,15,0,0,0,16,1,13
,Gelidium coulteri,0,0,0,0,0,9,0,0,0,0,6,0
,Gelidium elegans,0,0,0,0,0,7,0,0,0,0,0,0
,Gelidium isabelae,0,0,0,0,0,20,0,0,0,5,0,0
,Gelidium vagum,0,0,0,0,0,7,0,0,0,6,0,0
,Gigartinales,6,21,0,0,21,17,4,9,0,21,12,17
,Choreocolacaceae,0,0,0,0,0,1,0,0,0,0,0,0
,Choreocolax,0,0,0,0,0,0,0,0,0,0,0,0
,Choreocolax polysiphoniae,0,0,0,0,0,7,0,0,0,0,0,0
,Cruoriaceae,0,0,0,0,0,0,0,0,0,0,0,0
,unclassified Cruoriaceae,0,0,0,0,0,0,0,0,0,0,0,0
,Cruoriaceae sp. LC-2010,0,0,0,0,0,11,0,0,0,12,0,0
,Gigartinaceae,0,0,0,0,0,0,0,0,0,0,0,0
,Chondrus,0,0,0,0,0,0,0,0,0,0,0,0
,Chondrus crispus,5,13,0,0,0,61,5,0,0,0,0,13
,Gloiosiphoniaceae,0,0,0,0,0,1,0,0,0,0,0,0
,Hypneaceae,0,0,0,0,0,0,0,0,0,0,0,0
,Hypnea,0,0,0,0,0,6,0,0,0,6,0,2
,Hypnea pannosa,0,0,0,0,0,0,0,0,0,0,0,6
,Phyllophoraceae,0,0,0,0,0,4,0,0,0,0,0,0
,Ahnfeltiopsis,0,0,0,0,0,2,0,0,0,0,0,0
,Ahnfeltiopsis pusilla,0,0,0,0,0,5,0,0,0,0,0,0
,Solieriaceae,0,0,0,0,0,5,0,0,0,0,7,0
,Kappaphycus,0,0,0,0,0,0,0,0,0,0,0,0
,Kappaphycus alvarezii,0,0,0,0,0,9,0,0,0,0,0,5
,Gracilariales,0,0,0,0,0,0,0,0,0,0,0,0
,Gracilariaceae,7,8,0,0,12,9,5,2,0,5,4,8
,Agarophyton,0,0,0,0,0,0,0,0,0,0,0,0
,Agarophyton tenuistipitatum,0,0,0,0,0,5,0,0,0,0,0,0
,Gracilaria,0,0,0,0,6,22,0,5,0,22,9,10
,Gracilaria changii,0,0,0,0,0,0,0,8,0,0,0,6
,Gracilaria ferox,0,0,0,0,0,34,0,0,0,0,0,0
,Gracilaria gracilis,0,0,0,0,0,8,0,0,0,0,0,0
,Gracilariopsis,0,0,0,0,0,21,0,0,0,0,0,0
,Gracilariopsis mclachlanii,0,0,0,0,0,8,0,0,0,0,0,0
,Hydropuntia,0,0,0,0,0,0,0,0,0,0,0,0
,Hydropuntia rangiferina,0,0,0,0,0,8,0,0,0,9,0,0
,Halymeniales,0,0,0,0,0,0,0,0,0,0,0,0
,Halymeniaceae,0,0,0,0,0,0,0,0,0,0,0,0
,Grateloupia,0,0,0,0,5,7,0,0,0,0,6,1
,Grateloupia filicina,0,0,0,0,0,0,0,0,0,0,0,9
,Grateloupia lanceola,0,0,0,0,0,10,0,0,0,0,0,0
,Plocamiales,0,0,0,0,0,0,0,0,0,0,0,0
,Plocamiaceae,0,0,0,0,0,4,0,0,0,1,0,0
,Plocamiocolax,0,0,0,0,0,0,0,0,0,0,0,0
,Plocamiocolax pulvinata,0,0,0,0,0,11,0,0,0,5,0,0
,Rhodymeniales,0,0,0,0,0,0,0,0,0,0,0,0
,Fryeellaceae,0,0,0,0,0,0,0,0,0,0,0,0
,Fryeella,0,0,0,0,0,0,0,0,0,0,0,0
,Fryeella gardneri,0,0,0,0,0,8,0,0,0,0,0,0
,Rhodymeniaceae,0,0,0,0,0,0,0,0,0,0,0,0
,Rhodymenia,0,0,0,0,0,1,0,0,0,0,0,0
,Rhodymenia pseudopalmata,0,0,0,0,0,7,0,0,0,0,0,0
,Rhodellophyceae,0,0,0,0,0,0,0,0,0,0,0,0
,Dixoniellales,0,0,0,0,0,0,0,0,0,0,0,0
,Dixoniellaceae,0,0,0,0,0,0,0,0,0,0,0,0
,Bulboplastis,0,0,0,0,0,0,0,0,0,0,0,0
,Bulboplastis apyrenoidosa,0,0,0,0,0,8,0,0,0,0,0,0
,Stylonematophyceae,0,0,0,0,0,0,0,0,0,0,0,0
,Stylonematales,0,0,0,0,0,0,0,0,0,0,0,0
,Stylonemataceae,0,0,0,0,5,6,0,0,0,0,0,0
,Stramenopiles,20,145,46,20,121,408,49,42,18,55,276,52
,Bacillariophyta,30,173,28,27,161,1455,154,79,19,43,27,124
,Bacillariophyceae,4,8,1,1,10,26,8,1,0,2,1,0
,Bacillariophycidae,8,18,12,8,17,61,9,22,10,5,8,11
,Bacillariales,0,0,0,0,0,0,0,0,0,0,0,0
,Bacillariaceae,0,13,0,5,17,7,13,4,0,1,8,5
,Cylindrotheca,0,0,0,0,6,2,7,2,0,0,0,0
,Cylindrotheca closterium,0,0,0,0,0,48,0,5,0,0,0,0
,Cylindrotheca fusiformis,0,0,0,0,0,11,0,0,0,0,0,0
,Nitzschia,0,0,0,0,0,6,0,0,0,0,0,0
,Nitzschia palea,0,6,0,0,0,26,0,0,0,0,0,0
,unclassified Nitzschia,0,0,0,0,0,0,0,0,0,0,0,0
,Nitzschia sp. IriIs04,0,0,0,0,0,9,0,0,0,0,0,0
,Pseudo-nitzschia,0,0,0,0,0,7,0,0,0,0,0,0
,Pseudo-nitzschia multiseries,0,0,0,0,0,66,0,0,0,16,0,0
,Cymbellales,0,0,0,0,0,4,0,0,0,0,0,0
,Gomphonemataceae,0,0,0,0,0,8,0,0,0,0,0,2
,Didymosphenia,0,0,0,0,0,0,0,0,0,0,0,0
,Didymosphenia geminata,0,0,0,0,0,23,0,0,0,0,7,12
,Gomphoneis,0,0,0,0,0,0,0,0,0,0,0,0
,Gomphoneis minuta,0,0,0,0,0,15,0,0,0,0,0,0
,Entomoneidaceae,0,0,0,0,0,0,0,0,0,0,0,0
,Entomoneis,0,0,0,0,0,0,0,0,0,0,0,0
,unclassified Entomoneis,0,0,0,0,0,0,0,0,0,0,0,0
,Entomoneis sp.,0,0,0,0,6,39,0,0,0,0,0,0
,Naviculales,8,13,0,0,2,21,10,8,0,6,3,10
,Amphipleuraceae,0,0,0,0,0,1,0,0,0,0,0,0
,Halamphora,0,0,0,0,0,0,0,0,0,0,0,0
,Halamphora coffeaeformis,0,0,0,0,5,33,0,0,0,0,0,0
,Berkeleyaceae,0,0,0,0,0,6,0,0,0,0,0,0
,Naviculaceae,0,6,0,0,12,11,2,3,0,0,0,3
,Fistulifera,0,0,0,0,0,0,0,0,0,0,0,0
,Fistulifera solaris,0,0,0,0,0,21,0,0,0,0,0,0
,Navicula,0,0,0,0,0,8,0,0,0,0,0,0
,Navicula ramosissima,0,0,0,0,0,9,0,0,0,0,0,0
,Seminavis,0,0,0,0,0,0,0,0,0,0,0,0
,Seminavis robusta,0,20,0,0,22,127,15,5,0,0,0,5
,Phaeodactylaceae,0,0,0,0,0,0,0,0,0,0,0,0
,Phaeodactylum,0,0,0,0,0,0,0,0,0,0,0,0
,Phaeodactylum tricornutum,5,5,0,0,23,94,6,6,0,0,6,36
,Thalassiophysales,0,0,0,0,0,0,0,0,0,0,0,0
,Catenulaceae,0,0,0,0,0,0,0,0,0,0,0,0
,Amphora,0,0,0,0,0,5,0,0,0,0,0,0
,Eunotiophycidae,0,0,0,0,0,0,0,0,0,0,0,0
,Eunotiales,0,0,0,0,0,0,0,0,0,0,0,0
,Eunotiaceae,0,0,0,0,0,0,0,0,0,0,0,0
,Eunotia,0,0,0,0,0,1,0,0,0,0,0,0
,Eunotia naegelii,0,0,0,0,0,72,0,0,0,8,0,0
,Coscinodiscophyceae,6,14,6,5,9,127,7,21,4,11,4,18
,Chaetocerotophycidae,0,2,6,0,6,2,1,1,0,1,0,1
,Chaetocerotales,0,3,0,0,6,5,2,1,0,1,0,0
,Attheyaceae,0,0,0,0,0,0,0,0,0,0,0,0
,Attheya,0,0,0,0,0,3,0,0,0,0,0,0
,Attheya longicornis,0,0,0,0,0,17,0,0,0,0,0,0
,Chaetocerotaceae,0,0,0,0,0,10,0,0,0,0,0,2
,Chaetoceros,0,11,0,0,0,69,5,5,0,1,0,19
,Chaetoceros simplex,0,0,0,0,0,27,0,0,0,5,0,0
,Chaetoceros tenuissimus,0,0,0,0,0,8,0,0,0,0,0,0
,Leptocylindrales,0,0,0,0,0,0,0,0,0,0,0,0
,Leptocylindraceae,0,0,0,0,0,0,0,0,0,0,0,0
,Leptocylindrus,0,0,0,0,0,0,0,0,0,0,0,0
,Leptocylindrus danicus,0,0,0,0,0,14,0,0,0,0,0,0
,Coscinodiscophycidae,0,9,0,0,8,5,0,0,0,0,0,6
,Coscinodiscales,0,0,0,0,0,6,0,0,0,0,0,0
,Coscinodiscaceae,0,0,0,0,0,1,0,0,0,0,0,0
,Coscinodiscus,0,0,0,0,0,0,0,0,0,0,0,0
,Coscinodiscus radiatus,0,0,0,0,0,11,0,0,0,0,0,0
,Heliopeltaceae,0,0,0,0,0,0,0,0,0,0,0,0
,Actinoptychus,0,0,0,0,0,0,0,0,0,0,0,0
,Actinoptychus undulatus,0,0,0,0,0,23,0,0,0,0,0,0
,Paraliales,0,0,0,0,0,0,0,0,0,0,0,0
,Paraliaceae,0,0,0,0,0,0,0,0,0,0,0,0
,Paralia,0,6,0,0,0,5,0,5,0,0,0,0
,Paralia sulcata,0,0,0,0,0,32,0,0,0,0,0,0
,Rhizosoleniophycidae,0,0,0,0,0,0,0,0,0,0,0,0
,Rhizosoleniales,0,0,0,0,0,0,0,0,0,0,0,0
,Rhizosoleniaceae,0,3,0,0,9,9,2,5,0,0,0,2
,Guinardia,0,0,0,0,5,1,0,0,0,0,0,0
,Guinardia striata,0,0,0,0,0,29,6,0,0,0,0,0
,Rhizosolenia,0,5,1,0,0,13,0,0,0,0,0,6
,Rhizosolenia fallax,0,0,0,0,0,25,0,0,0,0,0,0
,Rhizosolenia imbricata,0,0,14,0,0,7,0,0,0,0,0,0
,Rhizosolenia setigera,0,0,0,0,0,12,0,0,0,0,0,0
,Thalassiosirophycidae,0,0,0,0,0,0,0,0,0,0,0,0
,Thalassiosirales,6,44,20,8,41,563,31,46,11,15,8,57
,Skeletonemataceae,0,0,0,0,0,0,0,0,0,0,0,0
,Skeletonema,0,6,0,0,0,23,5,4,0,0,0,2
,Skeletonema costatum,0,0,0,0,0,30,0,0,0,0,0,6
,Skeletonema marinoi-dohrnii complex,0,0,0,0,0,2,0,1,0,0,0,0
,Skeletonema marinoi,0,0,0,0,0,14,0,5,0,0,0,0
,Stephanodiscaceae,0,0,0,0,0,4,0,0,0,0,0,0
,Cyclotella,3,14,0,0,12,129,17,12,0,10,4,22
,Cyclotella pseudostelligera,5,25,0,0,19,321,24,14,0,0,5,29
,unclassified Cyclotella,0,0,0,0,0,0,0,0,0,0,0,0
,Cyclotella sp. L04_2,0,0,0,0,0,20,0,0,0,0,0,0
,Cyclotella sp. WC03_2,0,0,0,0,0,14,0,0,0,0,0,0
,Thalassiosiraceae,2,4,0,1,4,67,5,2,1,1,3,7
,Roundia,0,0,0,0,0,0,0,0,0,0,0,0
,Roundia cardiophora,0,5,0,0,0,72,0,0,0,0,0,5
,Thalassiosira,2,8,1,2,10,48,8,3,6,3,4,9
,Thalassiosira oceanica,0,5,0,0,8,102,8,5,0,5,0,0
,Thalassiosira pseudonana,10,30,5,5,28,284,22,15,0,12,7,45
,environmental samples,0,0,0,0,0,0,0,0,0,0,0,0
