,,Depth (cm),,,
,Allantinae,0,0,0,0
,Athalia,0,0,0,0
,Athalia rosae,0,0,0,0
,Siphonaptera,0,0,0,0
,Pulicomorpha,0,0,0,0
,Pulicoidea,0,0,0,0
,Pulicidae,0,0,0,0
,Archaeopsyllinae,0,0,0,0
,Ctenocephalides,0,0,0,0
,Ctenocephalides felis,0,0,0,0
,Paraneoptera,0,0,7,4
,Hemiptera,8,3,0,4
,Auchenorrhyncha,0,0,0,0
,Fulgoromorpha,0,0,0,0
,Fulgoroidea,0,0,0,1
,Delphacidae,0,0,0,0
,Delphacinae,0,0,0,0
,Nilaparvata,0,0,0,0
,Nilaparvata lugens,0,0,5,5
,Prosorrhyncha,0,0,0,0
,Heteroptera,0,0,0,0
,Euheteroptera,0,0,0,0
,Neoheteroptera,0,0,0,0
,Panheteroptera,0,0,0,0
,Cimicomorpha,0,0,0,0
,Cimicoidea,0,0,0,0
,Cimicidae,0,0,0,0
,Cimex,0,0,0,0
,Cimex lectularius,0,0,0,0
,Pentatomomorpha,0,0,0,0
,Coreoidea,0,0,0,0
,Alydidae,0,0,0,0
,Riptortus,0,0,0,0
,Riptortus pedestris,0,0,0,0
,Pentatomoidea,0,0,0,0
,Pentatomidae,0,0,0,0
,Pentatominae,0,0,0,0
,Halyomorpha,0,0,0,0
,Halyomorpha halys,0,0,0,0
,Sternorrhyncha,8,10,8,6
,Aleyrodoidea,0,0,0,0
,Aleyrodidae,0,0,0,0
,Aleyrodinae,0,0,0,0
,Bemisia,0,0,0,0
,Bemisia tabaci,0,0,0,0
,Aphidomorpha,1,2,0,0
,Aphidoidea,0,1,0,0
,Aphididae,3,2,8,0
,Aphidinae,2,9,5,6
,Aphidini,5,0,0,0
,Aphis,0,0,0,0
,Aphis <subgenus>,0,0,0,0
,Aphis gossypii,0,0,0,0
,Melanaphis,0,0,0,0
,Melanaphis sacchari,0,0,0,0
,Rhopalosiphum,0,0,0,0
,Rhopalosiphum maidis,0,0,0,0
,Macrosiphini,0,0,9,0
,Acyrthosiphon,0,0,0,0
,Acyrthosiphon pisum,0,0,0,0
,Diuraphis,0,0,0,0
,Diuraphis noxia,0,0,0,0
,Myzus,0,0,0,0
,Myzus persicae,0,0,0,0
,Chaitophorinae,0,0,0,0
,Sipha,0,0,0,0
,Sipha flava,0,0,0,0
,Pemphigidae,0,0,0,0
,Eriosomatinae,0,0,0,0
,Tetraneurini,0,0,0,0
,Kaltenbachiella,0,0,0,0
,Kaltenbachiella nirecola,0,0,0,0
,Psylloidea,0,0,0,0
,Liviidae,0,0,0,0
,Diaphorina,0,0,0,0
,Diaphorina citri,0,0,5,0
,Psocodea,0,0,0,0
,Phthiraptera,0,0,0,0
,Anoplura,0,0,0,0
,Pediculidae,0,0,0,0
,Pediculus,0,0,0,0
,Pediculus humanus,0,0,0,0
,Thysanoptera,0,0,0,0
,Terebrantia,0,0,0,0
,Thripoidea,0,0,0,0
,Thripidae,0,0,0,0
,Thripinae,0,0,0,0
,Frankliniella,0,0,0,0
,Frankliniella occidentalis,14,15,0,0
,Polyneoptera,0,1,8,0
,Dictyoptera,0,5,0,0
,Blattodea,0,0,0,0
,Blattoidea,0,0,0,0
,Termitoidae,0,0,0,0
,Kalotermitidae,0,0,0,0
,Cryptotermitinae,0,0,0,0
,Cryptotermes,0,0,0,0
,Cryptotermes secundus,0,0,0,0
,Termopsidae,0,0,0,0
,Termopsinae,0,0,0,0
,Termopsini,0,0,0,0
,Zootermopsis,0,0,0,0
,Zootermopsis nevadensis,0,0,0,0
,Orthoptera,0,0,0,0
,Palaeoptera,0,0,0,0
,Odonata,0,0,0,0
,Epiprocta,0,0,0,0
,Anisoptera,0,0,0,0
,Cavilabiata,0,0,0,0
,Libellulidae,0,0,0,0
,Sympetrum,0,0,0,0
,Sympetrum meridionale,0,0,0,0
,Protura,0,0,0,0
,Acerentomata,0,0,0,0
,Scalidophora,0,0,0,0
,Priapulida,0,0,0,0
,Priapulimorpha,0,0,0,0
,Priapulimorphida,0,0,0,0
,Priapulidae,0,0,0,0
,Priapulus,0,0,0,0
,Priapulus caudatus,0,0,6,0
,Spiralia,0,0,0,0
,Lophotrochozoa,3,12,11,15
,Annelida,6,4,4,0
,Clitellata,0,0,6,0
,Hirudinea,0,0,0,0
,Hirudinida,0,0,0,0
,Glossiphoniiformes,0,0,0,0
,Glossiphoniidae,0,1,0,0
,Helobdella,0,0,0,0
,Helobdella robusta,0,8,0,0
,Oligochaeta,0,1,3,0
,Enchytraeida,0,0,0,0
,Enchytraeidae,0,13,6,0
,Haplotaxida,0,3,2,0
,Tubificina,0,0,1,0
,Polychaeta,0,10,4,0
,Palpata,0,1,0,0
,Aciculata,0,0,0,0
,Phyllodocida,0,5,0,0
,Nereididae,0,0,0,0
,Perinereis,0,0,0,0
,Perinereis aibuhitensis,0,0,0,0
,Canalipalpata,0,0,0,0
,Sabellida,0,0,0,0
,Scolecida,0,0,5,0
,Brachiopoda,0,0,0,0
,Linguliformea,0,0,0,0
,Lingulata,0,0,0,0
,Lingulida,0,0,0,0
,Linguloidea,0,0,0,0
,Lingulidae,0,0,0,0
,Lingula,0,0,0,0
,Lingula anatina,0,0,0,0
,Mollusca,8,2,7,5
,Bivalvia,5,0,4,0
,Heterodonta,0,0,0,0
,Euheterodonta,0,0,0,0
,Veneroida,0,0,0,0
,Pteriomorphia,6,10,4,0
,Ostreoida,0,0,0,0
,Ostreoidea,0,0,0,0
,Ostreidae,0,0,0,0
,Crassostrea,0,0,4,0
,Crassostrea gigas,0,0,0,0
,Crassostrea virginica,0,0,5,0
,Pectinoida,0,0,0,0
,Pectinoidea,0,0,0,0
,Pectinidae,0,0,0,0
,Mizuhopecten,0,0,0,0
,Mizuhopecten yessoensis,0,0,0,0
,Cephalopoda,0,0,0,0
,Coleoidea,0,0,0,0
,Octopodiformes,0,0,0,0
,Octopoda,0,0,0,0
,Incirrata,0,0,0,0
,Octopodidae,0,0,0,0
,Octopus,0,6,0,0
,Octopus bimaculoides,0,0,0,0
,Octopus vulgaris,0,0,0,0
,Gastropoda,5,8,8,0
,Caenogastropoda,0,1,1,0
,Architaenioglossa,0,0,0,0
,Ampullarioidea,0,0,0,0
,Ampullariidae,0,0,0,0
,Pomacea,0,0,0,0
,Pomacea canaliculata,0,6,5,0
,Hypsogastropoda,0,0,0,0
,Neogastropoda,0,0,0,0
,Conoidea,0,0,0,0
,Conidae,0,0,0,0
,Conus,0,0,0,0
,Darioconus,0,0,0,0
,Conus episcopatus,0,0,0,0
,Heterobranchia,0,0,0,0
,Euthyneura <gastropods>,0,5,8,0
,Euopisthobranchia,0,0,0,0
,Aplysiida,0,0,0,0
,Aplysioidea,0,0,0,0
,Aplysiidae,0,0,0,0
,Aplysia,0,0,0,0
,Aplysia californica,0,0,5,0
,Panpulmonata,0,0,0,0
,Hygrophila <gastropods>,0,0,0,0
,Lymnaeoidea,0,0,0,0
,Planorbidae,0,0,0,0
,Biomphalaria,0,0,0,0
,Biomphalaria glabrata,0,0,0,0
,Patellogastropoda,0,0,0,0
,Lottioidea,0,0,0,0
,Lottiidae,0,0,0,0
,Lottia,0,0,0,0
,Lottia gigantea,0,0,0,0
,Platyhelminthes,5,8,5,6
,Catenulida,0,0,0,0
,Catenulidae,0,0,0,0
,Catenula,0,0,0,0
,Cestoda,0,0,0,0
,Eucestoda,0,5,5,3
,Cyclophyllidea,0,0,0,0
,Hymenolepididae,0,0,0,0
,Hymenolepis,0,0,0,0
,Hymenolepis microstoma,0,0,0,0
,Taeniidae,0,0,0,0
,Echinococcus,0,0,0,0
,Echinococcus granulosus group,0,0,0,0
,Echinococcus granulosus,0,0,0,0
,Diphyllobothriidea,0,0,0,0
,Diphyllobothriidae,0,0,0,0
,Spirometra,0,0,0,0
,Spirometra erinaceieuropaei,55,42,16,24
,Rhabditophora,0,7,0,0
,Seriata,0,0,0,0
,Tricladida,0,0,0,0
,Continenticola,0,0,0,0
,Geoplanoidea,0,0,0,0
,Dugesiidae,0,0,0,0
,Schmidtea,0,0,0,0
,Schmidtea mediterranea,0,0,0,0
,Trematoda,0,0,0,0
,Digenea,6,1,9,3
,Opisthorchiida,0,0,0,0
,Opisthorchiata,0,0,0,0
,Opisthorchiidae,0,0,0,0
,Opisthorchis,0,0,0,0
,Opisthorchis viverrini,0,0,0,0
,Plagiorchiida,0,0,0,0
,Xiphidiata,0,0,0,0
,Gorgoderoidea,0,0,0,0
,Dicrocoeliidae,0,0,0,0
,Dicrocoelium,0,0,0,0
,Dicrocoelium dendriticum,0,6,0,568
,Strigeidida,0,0,0,0
,Schistosomatoidea,0,0,0,0
,Schistosomatidae,0,0,0,0
,Schistosoma,0,2,1,5
,Schistosoma haematobium,0,0,0,0
,Schistosoma japonicum,0,0,0,0
,Schistosoma mansoni,0,19,14,0
,Cnidaria,6,3,4,9
,Anthozoa,2,5,3,3
,Hexacorallia,2,3,5,5
,Actiniaria,0,0,0,0
,Edwardsiidae,0,0,0,0
,Nematostella,0,0,0,0
,Nematostella vectensis,0,0,0,0
,Scleractinia,10,9,5,1
,Astrocoeniina,0,2,7,5
,Acroporidae,0,0,0,0
,Acropora,0,7,0,0
,Acropora digitifera,0,0,0,0
,Acropora millepora,0,0,0,0
,Pocilloporidae,0,0,5,0
,Pocillopora,0,0,0,0
,Pocillopora damicornis,0,0,0,0
,Stylophora,0,0,0,0
,Stylophora pistillata,0,0,0,0
,Faviina,0,0,0,0
,Merulinidae,0,0,0,0
,Orbicella,0,0,0,0
,Orbicella faveolata,0,0,0,0
,Octocorallia,0,0,0,0
,Alcyonacea,0,0,0,0
,Alcyoniina,0,0,0,0
,Nephtheidae,0,0,0,0
,Dendronephthya,0,0,0,0
,Dendronephthya gigantea,0,0,0,0
,Hydrozoa,0,0,0,0
,Hydroidolina,0,0,0,0
,Anthoathecata,0,0,0,0
,Aplanulata,0,0,0,0
,Hydridae,0,0,0,0
,Hydra,0,0,0,0
,Hydra vulgaris,0,0,0,0
,Myxozoa,0,0,0,0
,Myxosporea,0,0,0,0
,Multivalvulida,0,0,0,0
,Trilosporidae,0,0,0,0
,Unicapsula,0,55,34,0
,Placozoa,0,0,0,0
,Trichoplacidae,0,0,0,0
,Trichoplax,0,0,0,0
,Trichoplax adhaerens,0,0,0,0
,Porifera,0,0,1,0
,Demospongiae,0,1,0,5
,Heteroscleromorpha,0,0,0,0
,Haplosclerida,0,1,0,0
,Niphatidae,0,0,0,0
,Amphimedon,0,0,0,0
,Amphimedon queenslandica,6,5,7,0
,Homoscleromorpha,0,0,0,0
,Homosclerophorida,0,0,0,0
,Plakinidae,0,0,0,0
,Plakortis,0,0,0,0
,Plakortis angulospiculatus,0,0,0,0
,Rotosphaerida,0,0,0,0
,Fonticulaceae,0,0,0,0
,Fonticula,0,0,0,0
,Fonticula alba,32,18,23,0
,Rhodophyta,4,7,8,6
,Bangiophyceae,0,0,6,0
,Bangiales,0,0,0,0
,Bangiaceae,0,0,5,0
,Bangia,0,0,0,0
,Bangia fuscopurpurea,0,0,0,0
,Porphyra,0,0,0,0
,Pyropia,0,0,0,0
,Pyropia haitanensis,0,0,0,0
,Pyropia perforata,0,0,0,0
,Wildemania,0,0,0,0
,Wildemania schizophylla,0,0,0,0
,Cyanidiales,0,0,0,0
,Cyanidiaceae,0,0,5,0
,Cyanidioschyzon,0,0,0,0
,Cyanidioschyzon merolae,0,0,0,0
,Galdieria,0,0,0,0
,Galdieria sulphuraria,0,0,0,0
,Porphyridiales,0,0,0,0
,Porphyridiaceae,0,0,0,0
,Porphyridium,0,0,0,0
,Porphyridium purpureum,0,0,0,0
,Compsopogonophyceae,0,0,0,0
,Compsopogonales,0,0,0,0
,Compsopogonaceae,0,0,0,0
,Compsopogon,0,0,0,0
,Compsopogon caeruleus,0,0,0,0
,Florideophyceae,17,21,24,18
,Nemaliophycidae,0,0,0,0
,Nemaliales,0,0,6,0
,Galaxauraceae,0,0,0,0
,Dichotomaria,0,0,0,0
,Dichotomaria marginata,0,0,0,0
,Liagoraceae,0,0,0,0
,Hommersandiophycus,0,0,0,0
,Hommersandiophycus borowitzkae,0,0,0,0
,Rhodymeniophycidae,0,0,0,0
,Ceramiales,0,6,15,8
,Ceramiaceae,0,0,0,0
,Callithamnion,0,0,0,0
,Callithamnion tetricum,0,0,0,0
,Dasyaceae,0,0,0,0
,Halydictyon,0,0,0,0
,Halydictyon mirabile,0,0,0,0
,Delesseriaceae,0,0,6,0
,Caloglossa,0,0,0,0
,Caloglossa intermedia,0,0,0,0
,Haraldiophyllum,0,0,0,0
,Haraldiophyllum bonnemaisonii,0,0,0,0
,Rhodomelaceae,0,0,5,0
,Polysiphonioideae,0,0,0,0
,Polysiphonia,0,0,0,0
,Polysiphonia elongata,0,0,0,0
,Gelidiales,0,0,0,0
,Gelidiaceae,0,0,0,0
,Gelidiophycus,0,0,0,0
,Gelidiophycus divaricatus,0,12,12,0
,Gelidium,0,0,1,0
,Gigartinales,1,0,2,1
,Gigartinaceae,0,0,0,0
,Chondrus,0,0,0,0
,Chondrus crispus,10,0,11,10
,Gracilariales,0,0,0,0
,Gracilariaceae,0,0,0,0
,Gracilaria,0,0,0,0
,Gracilariopsis,0,0,0,0
,Gracilariopsis heteroclada,0,0,0,0
,Hydropuntia,0,0,0,0
,Hydropuntia rangiferina,0,0,0,0
,Halymeniales,0,0,0,0
,Halymeniaceae,0,0,0,0
,Grateloupia,0,0,0,0
,Grateloupia lanceola,0,0,0,0
,Grateloupia taiwanensis,0,0,0,0
,Sar,0,0,0,0
,Alveolata,8,9,20,10
,Apicomplexa,0,2,3,1
,Aconoidasida,5,2,1,0
,Haemosporida,0,0,0,0
,Plasmodiidae,0,0,0,0
,Plasmodium,7,12,14,6
,Plasmodium (Haemamoeba),0,1,6,5
,Plasmodium gallinaceum,0,0,0,6
,Plasmodium relictum,0,7,0,6
,Plasmodium (Laverania),9,24,18,22
,Plasmodium falciparum,0,5,0,11
,Plasmodium reichenowi,0,5,0,0
,Plasmodium sp. DRC-Itaito,0,7,0,0
,Plasmodium sp. gorilla clade G1,0,0,0,0
,Plasmodium sp. gorilla clade G2,0,0,5,0
,Plasmodium sp. gorilla clade G3,0,0,0,0
,Plasmodium (Plasmodium),10,23,21,19
,Plasmodium cynomolgi,0,8,0,0
,Plasmodium fragile,0,0,0,0
,Plasmodium gonderi,0,0,0,0
,Plasmodium knowlesi,0,0,0,0
,Plasmodium malariae,0,8,5,6
,Plasmodium ovale,0,0,5,8
,Plasmodium vivax,5,0,0,0
,Plasmodium (Vinckeia),10,15,9,9
,Plasmodium berghei,0,0,0,0
,Plasmodium chabaudi,0,0,0,0
,Plasmodium vinckei,0,0,0,0
,Plasmodium yoelii,0,13,7,5
,Plasmodium coatneyi,0,0,0,0
,Piroplasmida,0,6,6,6
,Babesiidae,0,0,0,0
,Babesia,0,0,9,5
,Babesia bigemina,0,0,0,0
,Babesia divergens,0,0,0,0
,Theileriidae,0,0,0,0
,Theileria,0,0,6,0
,Theileria orientalis,0,0,0,0
,Theileria parva,0,0,0,0
,Conoidasida,2,2,3,4
,Coccidia,0,0,0,0
,Eucoccidiorida,0,0,0,0
,Eimeriorina,1,3,6,6
,Cryptosporidiidae,0,0,0,0
,Cryptosporidium,0,0,0,0
,Cryptosporidium ubiquitum,0,0,0,0
,Eimeriidae,2,2,1,2
,Cyclospora,0,0,0,0
,Cyclospora cayetanensis,0,0,0,0
,Eimeria,14,9,19,18
,Eimeria acervulina,0,0,6,0
,Eimeria maxima,0,6,0,5
,Eimeria mitis,103,180,5,0
,Eimeria necatrix,5,0,0,0
,Eimeria tenella,0,0,0,0
,Sarcocystidae,8,14,14,5
,Besnoitia,0,0,0,0
,Besnoitia besnoiti,0,0,5,0
,Neospora,0,0,0,0
,Neospora caninum,9,0,0,0
,Toxoplasma,0,0,0,0
,Toxoplasma gondii,5,0,0,6
,Gregarinasina,0,0,3,0
,Eugregarinorida,0,0,0,0
,Gregarinidae,0,0,0,0
,Gregarina,0,0,5,0
,Gregarina niphandrodes,0,0,0,0
,Ciliophora,4,6,1,0
,Intramacronucleata,7,5,1,6
,Oligohymenophorea,12,0,0,0
,Hymenostomatida,0,1,5,0
,Ophryoglenina,0,0,0,0
,Ichthyophthirius,0,0,0,0
,Ichthyophthirius multifiliis,0,0,0,0
,Tetrahymenina,0,0,0,0
,Tetrahymenidae,0,0,0,0
,Tetrahymena,0,0,0,0
,Tetrahymena thermophila,0,7,0,0
,Peniculida,0,0,0,0
,Parameciidae,0,0,0,0
,Paramecium,0,0,0,0
,Paramecium tetraurelia,0,5,6,0
,Scuticociliatia,0,0,0,0
,Philasterida,0,0,0,0
,Pseudocohnilembidae,0,0,0,0
,Pseudocohnilembus,0,0,0,0
,Colpodellida,0,0,0,0
,Chromerida sp. RM11,0,0,0,0
,Colpodellaceae,0,0,1,0
,Colpodella,0,0,1,0
,Colpodella angusta,0,0,5,0
,Dinophyceae,0,0,12,0
,Gymnodiniales,0,0,0,0
,Peridiniales,0,0,0,0
,Suessiales,0,0,0,0
,Symbiodiniaceae,0,0,0,0
,Symbiodinium,0,0,0,0
,Symbiodinium kawagutii,0,0,0,0
,"environmental samples <eukaryotes,clade Alveolata>",0,6,0,0
,Perkinsozoa,0,0,0,0
,Perkinsea,0,0,0,0
,Perkinsida,0,0,0,0
,Perkinsidae,0,0,0,0
,Perkinsus,0,0,0,0
,Perkinsus marinus,0,0,0,0
,Rhizaria,0,0,1,3
,Cercozoa,0,5,20,4
,Cercomonadida,0,0,0,0
,Cercomonadidae,0,0,0,0
,"environmental samples <cercozoans,phylum Cercozoa>",0,0,0,0
,uncultured Cercozoa,0,0,0,0
,Endomyxa,0,0,0,0
,Plasmodiophorida,0,0,0,6
,Plasmodiophoridae,0,0,0,4
,Plasmodiophora,0,0,0,0
,Plasmodiophora brassicae,0,0,0,6
,Spongospora,0,0,0,0
,Spongospora subterranea,0,0,0,16
,Imbricatea,0,0,0,0
,Silicofilosea,0,0,0,0
,Euglyphida,0,0,0,0
,Paulinellidae,0,0,0,0
,Paulinella,0,0,0,0
,Paulinella chromatophora,0,0,0,0
,Stramenopiles,24,15,30,19
,Bigyra,0,0,0,0
,Opalozoa,0,0,0,0
,Opalinata,0,0,0,0
,Blastocystidae,0,0,0,0
,Blastocystis,5,0,3,0
,Blastocystis hominis,0,0,13,0
,Blastocystis sp. subtypes,0,0,0,0
,Blastocystis sp. subtype 4,0,0,7,0
,Ochrophyta,0,0,0,0
,Bacillariophyta,6,13,11,5
,Bacillariophyceae,0,0,0,0
,Bacillariophycidae,0,5,0,0
,Naviculales,0,0,0,0
,Phaeodactylaceae,0,0,0,0
,Phaeodactylum,0,0,0,0
,Phaeodactylum tricornutum,0,0,0,0
,Coscinodiscophyceae,0,0,1,0
,Thalassiosirophycidae,0,0,0,0
,Thalassiosirales,0,0,1,0
,Thalassiosiraceae,0,0,0,0
,Thalassiosira,0,0,0,0
,Thalassiosira pseudonana,0,0,5,0
,Mediophyceae,0,0,0,0
,Biddulphiophycidae,0,0,0,0
,Hemiaulales,0,0,0,0
,Hemiaulaceae,0,0,0,0
,Cerataulina,0,0,0,0
,Cerataulina daemon,0,0,0,0
,Chrysophyceae,0,0,0,0
,Chromulinales,0,0,0,0
,Chromulinaceae,0,0,0,0
,Spumella,0,0,0,0
,unclassified Spumella,0,0,0,0
,Spumella sp. OF-40,0,0,0,0
,Dictyochophyceae,0,0,0,0
,Florenciellales,0,0,0,0
,Florenciella,0,0,0,0
,Florenciella parvula,0,0,0,0
,Pedinellales,0,0,0,0
,Pseudopedinella,0,0,0,0
,Pseudopedinella elastica,0,0,0,0
,Eustigmatophyceae,1,0,2,0
,Eustigmatales,0,0,0,0
,Monodopsidaceae,0,0,0,0
,Nannochloropsis,11,5,6,5
,Nannochloropsis gaditana,0,0,0,0
,Nannochloropsis limnetica,0,0,0,0
,Nannochloropsis oceanica,0,0,7,0
,PX clade,0,0,2,0
,Phaeophyceae,0,5,12,0
,Ectocarpales,0,0,0,0
,Fucales,0,0,0,0
,Fucaceae,0,0,0,0
,Fucus,0,0,0,0
,Laminariales,0,0,0,0
,Alariaceae,0,0,0,0
,Undaria,0,0,0,0
,Undaria pinnatifida,0,0,0,0
,Laminariaceae,0,0,0,0
,Saccharina,0,0,0,0
,Saccharina japonica,0,0,0,0
,Raphidophyceae,0,0,0,0
,Chattonellales,0,0,0,0
,Chattonellaceae,0,0,0,0
,Heterosigma,0,0,0,0
,Heterosigma akashiwo,0,0,0,0
,Synurophyceae,0,0,0,0
,Synurales,0,0,0,0
,Mallomonadaceae,0,0,0,0
,Mallomonas,0,0,0,0
,Mallomonas matvienkoae,0,0,0,0
,Oomycota,1,65,16,1
,Albuginales,0,0,0,0
,Albuginaceae,0,0,0,0
,Albugo,0,0,0,0
,Albugo laibachii,0,7,8,0
,Peronosporales,6,224,10,4
,Peronosporaceae,0,13,0,0
,Bremia,0,0,0,0
,Bremia lactucae,0,6,0,0
,Hyaloperonospora,0,1,0,0
,Hyaloperonospora parasitica species group,0,0,0,0
,Hyaloperonospora parasitica,0,6,0,0
,Peronospora,0,8,0,0
,Phytophthora,12,186,29,11
,Phytophthora infestans,0,11,7,0
,Phytophthora parasitica,0,6,5,0
,Phytophthora polonica,0,11,0,0
,Phytophthora quercina,0,6,0,0
,Phytophthora ramorum,0,8,0,0
,Phytophthora sojae,20,28,24,9
,Plasmopara,0,0,0,0
,Plasmopara halstedii,0,9,0,0
,Pseudoperonospora,0,9,0,0
,Pythiales,0,0,0,0
,Pythiaceae,0,0,0,0
,Phytopythium,0,0,0,0
,Pythium,0,7,0,0
,Saprolegniales,0,0,0,0
,Saprolegniaceae,0,4,0,6
,Aphanomyces,9,6,6,2
,Aphanomyces astaci,5,14,6,0
,Aphanomyces euteiches,0,0,0,0
,Aphanomyces invadans,0,0,5,6
,Saprolegnia,13,8,10,9
,Saprolegnia diclina,7,13,6,8
,Saprolegnia parasitica,5,0,19,0
,Pelagophyceae,0,0,0,0
,Pelagomonadales,0,0,1,1
,Aureococcus,0,0,0,0
,Aureococcus anophagefferens,77,6,44,47
,unclassified eukaryotes,0,0,0,0
Viridiplantae,Viridiplantae,9,48,65,12
,Chlorophyta,12,14,16,6
,core chlorophytes,0,0,0,0
,Chlorophyceae,2,7,3,4
,Chlamydomonadales,8,10,5,2
,Chlamydomonadaceae,0,0,4,2
,Chlamydomonas,1,0,1,1
,Chlamydomonas leiostraca,0,0,0,0
,Chlamydomonas reinhardtii,39,20,32,14
,Chlamydomonadales incertae sedis,0,0,0,0
,Haematococcaceae,0,0,0,0
,Haematococcus,0,0,0,0
,Haematococcus lacustris,0,0,0,0
,Stephanosphaera,0,0,0,0
,Stephanosphaera pluvialis,0,0,0,0
,Volvocaceae,0,0,0,0
,Volvox,0,0,0,0
,Volvox carteri,6,0,27,15
,Chlorophyceae incertae sedis,0,0,0,0
,Sphaeropleales,1,2,4,5
,Chromochloridaceae,0,0,0,0
,Chromochloris,0,0,0,0
,Chromochloris zofingiensis,0,0,0,0
,Hydrodictyaceae,0,0,0,0
,Scenedesmaceae,0,0,0,0
,Selenastraceae,0,0,0,0
,Monoraphidium,0,0,0,0
,Monoraphidium neglectum,37,9,25,19
,Raphidocelis,0,0,0,0
,Raphidocelis subcapitata,0,0,0,0
,Sphaeropleales incertae sedis,0,0,0,0
,Trebouxiophyceae,4,5,9,3
,Chlorellales,1,0,0,0
,Chlorellaceae,5,6,4,6
,Auxenochlorella,0,0,0,0
,Auxenochlorella protothecoides,28,11,74,17
,Chlorella clade,0,0,0,0
,Chlorella,0,0,0,0
,Chlorella variabilis,25,13,23,10
,"environmental samples <green algae,class Trebouxiophyceae>",0,0,0,0
,uncultured Trebouxiophyceae,0,0,0,0
,Microthamniales,0,0,0,0
,Prasiolales,0,0,0,0
,Trebouxiophyceae incertae sedis,2,0,8,1
,Elliptochloris clade,0,0,0,0
,Coccomyxa,0,0,0,0
,Coccomyxa subellipsoidea,12,6,10,5
,unclassified Trebouxiophyceae,0,0,0,0
,Trebouxiophyceae sp. MX-AZ01,0,0,0,0
,Mamiellophyceae,1,0,0,1
,Mamiellales,1,0,0,0
,Bathycoccaceae,6,8,3,0
,Bathycoccus,0,0,0,0
,Bathycoccus prasinos,0,0,5,0
,Ostreococcus,2,6,0,6
,Ostreococcus tauri,11,0,15,7
,unclassified Ostreococcus,0,0,0,0
,Ostreococcus sp. 'lucimarinus',5,0,19,6
,Mamiellaceae,1,0,1,0
,Micromonas,0,3,0,5
,Micromonas commoda,19,5,20,6
,Micromonas pusilla,34,18,22,12
,Pyramimonadophyceae,0,0,0,0
,Pyramimonadales,0,0,0,0
,Pyramimonadaceae,0,0,0,0
,Pyramimonas,0,0,0,0
,Ulvophyceae,0,0,0,0
,OUU clade,0,0,0,0
,Ulotrichales,0,0,0,0
,Ulotrichaceae,0,0,0,0
,Gloeotilopsis,0,0,0,0
,Ulothrix,0,0,0,0
,Ulothrix zonata,0,0,0,0
,Ulvales,0,0,0,0
,Ulvaceae,0,0,0,0
,Ulva,0,0,0,0
,TCBD clade,0,0,0,0
,Bryopsidales,0,0,0,0
,Caulerpaceae,0,0,0,0
,Caulerpa,0,0,0,0
,Caulerpa verticillata,0,0,0,0
,unclassified prasinophytes,0,0,0,0
,prasinophyte sp. MBIC10622,0,0,0,0
,Streptophyta,2,7,8,0
,Chlorokybophyceae,0,0,0,0
,Chlorokybales,0,0,0,0
,Chlorokybaceae,0,0,0,0
,Chlorokybus,0,0,0,0
,Chlorokybus atmophyticus,0,0,6,0
,Klebsormidiophyceae,0,0,0,0
,Klebsormidiales,0,0,0,0
,Klebsormidiaceae,0,0,0,0
,Klebsormidium,0,0,0,0
,Streptophytina,0,14,19,1
,Charophyceae,0,0,0,0
,Charales,0,0,0,0
,Characeae,0,0,0,0
,Embryophyta,10,63,94,16
,Bryophyta,0,0,2,0
,Bryophytina,0,0,3,0
,Bryopsida,0,12,11,0
,Bryidae,0,0,0,0
,Bryanae,0,0,0,0
,Orthotrichales,0,0,0,0
,Orthotrichaceae,0,0,0,0
,Dicranidae,0,0,0,0
,Pottiales,0,0,0,0
,Pottiaceae,0,0,0,0
,Funariidae,0,0,0,0
,Funariales,0,0,0,0
,Funariaceae,0,0,5,0
,Physcomitrium,0,0,0,0
,Physcomitrium patens,0,0,0,0
,Polytrichopsida,0,0,0,0
,Polytrichales,0,0,0,0
,Polytrichaceae,0,0,0,0
,Marchantiophyta,0,8,16,0
,Jungermanniopsida,0,0,0,0
,Jungermanniidae,0,0,0,0
,Jungermanniales,0,0,0,0
,Jungermanniineae,0,0,0,0
,Marchantiopsida,0,0,0,0
,Marchantiidae,0,0,0,0
,Marchantiales,0,0,0,0
,Marchantiaceae,0,0,0,0
,Marchantia,0,0,0,0
,Marchantia polymorpha,0,0,0,0
,Tracheophyta,8,12,11,6
,Euphyllophyta,2,16,30,3
,Polypodiopsida,7,11,18,9
,Equisetidae,0,0,0,0
,Equisetales,0,0,0,0
,Equisetaceae,0,0,0,0
,Equisetum,26,44,131,15
,Equisetum arvense,12,60,131,14
,Equisetum diffusum,0,0,0,0
,Equisetum hyemale,0,5,6,0
,Equisetum telmateia,0,0,0,0
,Ophioglossidae,0,0,0,0
,Psilotales,0,0,0,0
,Psilotaceae,0,0,0,0
,Psilotum,0,0,0,0
,Psilotum nudum,0,0,0,0
,Polypodiidae <ferns>,0,5,0,0
,Polypodiales,0,0,0,0
,Aspleniineae,0,0,0,0
,Dennstaedtiineae,0,0,0,0
,Dennstaedtiaceae,0,0,0,0
,Pteridium,0,0,0,0
,Pteridium aquilinum,0,0,0,0
,Polypodiineae,0,0,0,0
,Dryopteridaceae,0,0,0,0
,Dryopteridoideae,0,0,0,0
